Nome do alimento,Calorias,Carboidratos,Lipidos,Fibra,Proteina
"Língua de vaca, estufada, sem molho",267,"20,9",0,0,"19,8"
"Rim de carneiro, cru",92,"3,0",0,0,"16,2"
"Rim de carneiro, frito com margarina",205,"12,9",0,0,"22,3"
"Rim de porco, cru",95,"3,0",0,0,"17,0"
"Rim de porco, frito com margarina",206,"12,4",0,0,"23,6"
"Rim de vaca, cru",92,"2,2",0,0,"18,0"
"Fígado de porco, frito, sem molho",180,"8,8",0,0,"25,2"
Alheira crua,309,"18,1","27,4","1,4","8,3"
Alheira cozida sem adição de sal,269,"14,0","26,8","1,4","8,3"
Alheira grelhada sem adição de sal,302,"17,0","28,5","1,5","8,1"
"Chouriço de carne de porco, magro, cru",409,"34,5",0,0,"24,5"
"Chouriço de carne de porco, gordo, cru",544,"53,6",0,0,"15,4"
"Chouriço de carne de porco, magro, cozido sem adição de sal",334,"26,1",0,0,"24,8"
"Chouriço de carne de porco, magro, grelhado sem adição de sal",343,"24,1",0,0,"31,6"
Chouriço de sangue cru,328,"31,6",0,0,"11,0"
Chouriço de sangue cozido sem adição de sal,263,"24,2",0,0,"11,2"
Farinheira crua,497,"41,0","26,7","1,2","4,8"
Farinheira cozida sem adição de sal,404,"30,7","26,4","1,3","4,8"
Linguiça,437,"39,0",0,0,"21,5"
Morcela crua,363,"29,5","12,0","0,6","12,0"
Morcela grelhada sem adição de sal,339,"25,9","13,1","0,7","12,9"
Mortadela,379,"33,2","1,7",0,"18,3"
Paio de lombo,288,"19,0",0,0,"29,2"
Paio de lombo entremeado,361,"30,0",0,0,"22,8"
Pasta de fígado de porco (paté),363,"34,5","3,2",0,"10,0"
"Pasta de fígado de aves (paté), caseira ",289,"17,6","4,6","0,3","27,0"
Presunto,215,"12,8",0,0,"25,0"
Salame,422,"37,6","1,3",0,"19,5"
Salpicão,412,"36,7",0,0,"20,5"
Salsicha fresca crua,210,"16,4",0,0,"15,5"
Salsicha fresca estufada com couve e azeite,140,"11,6","1,1","1,3","7,2"
Salsicha fresca estufada com legumes e azeite,121,"8,9","3,7","1,4","5,9"
Salsicha tipo Frankfurt,178,"14,7","2,4","0,1","9,0"
Salsicha tipo Frankfurt grelhada sem adição de sal,211,"16,7","3,2","0,1","12,0"
Salsicha tipo Frankfurt frita (escorrido o óleo) sem adição de sal,201,"16,5","2,8","0,1","10,2"
Croquete,316,"18,8","23,1","0,9","13,2"
Rissol,280,"13,4","31,8","1,3","7,3"
Chamuça,344,"16,3","39,3","1,7","9,1"
Pastel folhado,415,"26,0","37,4","1,5","7,1"
Empada,374,"21,9","33,9","1,3","9,6"
Creme para barrar de cacau e avelãs (8 marcas),545,"33,3","54,7","1,2","5,9"
Almôndega cozinhada,243,"16,7","3,8","0,2","19,2"
"Creme vegetal para barrar  72% gordura, 33% ácidos gordos polinsaturados",651,"72,1","0,4",0,"0,1"
"Creme vegetal culinário, 75% gordura, sem sal",677,"75,0","0,4",0,"0,1"
"Creme vegetal para barrar 35% gordura, com fitosteróis",328,"35,0","3,2",0,"0,1"
"Creme vegetal para barrar 70% gordura, com sal",632,"70,0","0,3",0,"0,1"
Creme vegetal para barrar 37% gordura,343,"37,4","0,2",0,"1,4"
"Margarina industrial para pastelaria, com sal",727,"80,5","0,4",0,"0,1"
"Margarina culinária para folhados, com sal",772,"85,5","0,4",0,"0,1"
"Margarina vegetal culinária, 80% gordura, com sal",722,"80,0","0,4",0,"0,1"
"Margarina vegetal culinária, com alho e sal",692,"74,3","4,4","0,7","1,0"
"Margarina líquida, 65% gordura, com sal",588,"65,3",0,0,0
"Margarina 3/4, de girassol",524,"58,0","0,3",0,"0,1"
Manteiga com sal,739,"81,8","0,7",0,"0,1"
Manteiga sem sal,750,"83,0","0,7",0,"0,1"
Minarina (meia margarina),380,"41,6","0,4",0,"0,9"
Óleo de amendoim,887,"98,5",0,0,0
"Óleo ""Becel""",887,"98,5",0,0,0
Óleo de girassol,896,"99,5",0,0,0
Óleos de milho,896,"99,5",0,0,0
Óleo alimentar,896,"99,5",0,0,0
Óleo de soja,887,"98,5",0,0,0
Óleo de palma,900,"100,0",0,0,0
Azeite (4 marcas),900,"99,9",0,0,"0,1"
"""Shortening"" para pastelaria",878,"97,5",0,0,0
"""Shortening"" para restaurante",900,"100,0",0,0,0
"Creme vegetal para barrar 70% gordura, 53% ácidos gordos monoinsaturados",632,"70,0","0,5",0,"0,1"
"Creme vegetal para barrar 58% gordura, com cálcio",525,"58,0","0,5",0,"0,3"
Arroz carolino branqueado cru,357,"0,5","79,6","2,2","7,4"
